title,year,rating,score,episodes
Marvel's Agent Carter,2015,7+,8,18
Awkward.,2011,16+,7.6,90
Fast N' Loud,2012,16+,7.6,87
Sabrina  the Teenage Witch,1996,all,6.6,163
Caillou,1998,all,4.2,10
Hill Street Blues,1981,16+,8.1,146
Star Trek: Deep Space Nine,1993,7+,7.9,173
Hey Arnold!,1996,all,7.7,101
My Name Is Earl,2005,16+,7.8,95
The Incredible Hulk,1978,7+,6.9,65
Numb3rs,2006,7+,6.9,118
The Last Man on Earth,2015,16+,7.4,67
The Golden Girls,1985,7+,7.9,180
Lupin the Third,1971,18+,8,73
Shadowhunters,2016,16+,6.6,43
The Beverly Hillbillies,1962,all,7.2,55
Popeye the Sailor,1960,all,7.1,1
The Haves and the Have Nots,2013,N/A,6,129
Star,2016,16+,6.7,32
Watch What Happens: Live,2009,16+,5.8,58
Fullmetal Alchemist: Brotherhood,2009,18+,9,64
NYPD Blue,1993,18+,7.5,260
Medium,2005,16+,7,131
Animaniacs,1993,all,7.9,130
Silent Witness,1996,16+,7.8,124
Sailor Moon,1992,16+,7.7,200
Legion,2017,18+,8.4,8
Intervention,2005,16+,8,162
Tokyo Ghoul,2014,18+,8,37
The Amazing World of Gumball,2011,7+,8.2,74
I Love Lucy,1951,all,8.4,102
Gold Rush,2011,7+,7.2,112
Ghost in the Shell: Stand Alone Complex,2002,16+,8.5,10
Timeless,2016,7+,7.7,25
Rizzoli & Isles,2010,16+,7.6,105
Billions,2016,18+,8.4,1
St. Elsewhere,1982,7+,7.9,137
Alfred Hitchcock Presents,1955,16+,8.6,149
The Librarians,2014,16+,7.3,42
Happy Days,1974,7+,7.5,25
Saving Hope,2012,16+,7.6,85
Home Improvement,1991,all,7.2,203
The O.C.,2003,7+,7.5,92
Simon & Simon,1981,N/A,7.1,56
Black Clover,2017,16+,7.7,78
The Cleveland Show,2009,16+,5.6,88
The Bridge,2011,18+,8.7,44
Night Gallery,1970,7+,8,44
Pawn Stars,2009,7+,7.2,247
Blackadder,1983,7+,8.1,24
Quantum Leap,1989,7+,8.1,97
The IT Crowd,2006,16+,8.5,25
Preacher,2016,18+,8.1,23
Revenge,2011,16+,7.9,89
Dawson's Creek,1998,16+,6.6,128
Monogatari,2009,16+,8,28
Ironside,1967,7+,7,80
Offspring,2010,16+,8.2,65
Gurren Lagann,2007,16+,8.3,27
Digimon Adventure,1999,7+,7.3,203
Deadliest Catch,2005,7+,8,122
Harrow,2018,N/A,7.3,10
Crayon Shin-chan,1992,7+,7.9,77
Chopped,2009,all,7.5,161
Total Divas,2013,16+,6.6,104
Lie to Me,2009,16+,8,48
Drake & Josh,2004,7+,7.7,48
America's Got Talent,2006,7+,5.7,48
The Mindy Project,2012,16+,7.4,118
Louie,2010,18+,8.6,62
The Thundermans,2013,all,5.8,100
Shades of Blue,2016,16+,7,36
America's Next Top Model,2003,7+,5.6,285
Castle Rock,2018,18+,8.6,10
Hunter x Hunter,2011,16+,8.7,96
Curious George,2006,all,7.3,112
A Certain Magical Index,2008,16+,7,48
Spider-Man,1994,all,8.3,1
The Real Housewives of Orange County,2006,16+,4,213
Death Note,2006,18+,9,37
Steins Gate,2011,16+,8.7,24
Sister Wives,2010,16+,4.3,57
Everybody Hates Chris,2005,7+,7.4,75
Bering Sea Gold,2012,all,6.7,18
Remington Steele,1982,7+,7.3,60
High School DxD,2012,18+,7.8,49
Taboo,2017,16+,8.5,7
Hunter,1984,N/A,6.8,152
Step by Step,1991,all,6.5,160
Cowboy Bebop,1998,18+,8.9,26
The Outer Limits,1963,7+,8.2,164
Workaholics,2011,18+,8.1,86
An Idiot Abroad,2010,16+,8.3,19
The L Word,2004,18+,7.6,71
Midnight  Texas,2017,16+,7.5,10
The Twilight Zone,1959,7+,9,156
Ben 10,2005,7+,7.1,49
Garfield and Friends,1988,7+,7.3,152
Marvel's Runaways,2017,16+,7.3,10
Life Below Zero,2013,7+,8.1,93
Melrose Place,1992,16+,3.8,221
Everwood,2002,7+,7.5,89
The View,1997,16+,2.9,156
Life in Pieces,2015,7+,7.9,44
Star vs. the Forces of Evil,2015,7+,8.1,73
Mobile Suit Gundam SEED,2002,16+,7.8,48
Foster's Home for Imaginary Friends,2004,7+,7.7,79
Merlin,2008,7+,7.9,65
Stitchers,2015,16+,7,31
The Dick Van Dyke Show,1961,all,7,157
The Curse of Oak Island,2014,7+,6.9,58
The Venture Bros.,2004,18+,8.5,73
Family Matters,1989,all,6.6,213
Food Wars!: Shokugeki no Soma,2015,18+,8.3,37
Rescue Me,2004,18+,8.4,93
Doogie Howser  M.D.,1989,7+,6.5,97
Peep Show,2003,18+,8.6,54
Expedition Unknown,2015,7+,8.4,34
Newhart,1982,all,7.8,19
Siren,2018,16+,7.2,10
Naked and Afraid,2013,16+,6.6,77
The Practice,1997,16+,7.7,167
ER,1994,16+,7.7,331
Younger,2015,16+,7.8,60
The Real Housewives of Beverly Hills,2010,16+,4.7,153
SIX,2017,18+,7.3,8
Shameless,2004,18+,8.1,138
The Exorcist,2016,16+,8.2,20
House Hunters International,2006,all,7.1,78
The Fall Guy,1981,7+,7.1,23
The Ultimate Fighter,2005,16+,7.9,27
Felicity,1998,16+,6.8,85
Sonic Boom,2014,7+,8,78
LEGO Ninjago: Masters of Spinjitzu,2012,all,6.7,54
The Saint,1962,7+,7.6,4
Inside No. 9,2014,18+,8.4,12
Mr. Bean,1990,all,8.5,15
Durarara!!,2010,16+,8,61
Over the Garden Wall,2014,7+,8.9,10
Dinosaurs,1991,7+,7.5,32
The Pink Panther Show,1964,all,7.7,123
Lost in Space,1965,all,7.3,84
Brickleberry,2012,18+,7.3,36
Rurouni Kenshin,1996,16+,8.5,101
Sliders,1995,7+,7.4,46
Stargate Universe,2009,16+,7.7,40
Parenthood,2010,7+,8.2,103
Friday Night Lights,2006,7+,8.7,76
So You Think You Can Dance,2005,7+,6.8,29
Drunk History,2013,16+,7.8,57
Taxi,1978,7+,7.7,79
New Tricks,2003,16+,7.9,107
Emerald City,2017,16+,7.3,10
The Addams Family,1964,all,8,64
Inspector Gadget,1983,7+,6.8,86
Renegade,1992,N/A,6.1,118
Rosewood,2015,16+,6.6,44
Wayward Pines,2015,16+,7.5,20
Unsolved Mysteries,1987,7+,8.4,208
Doug,1991,all,7.5,53
Catfish: The TV Show,2012,16+,7.2,93
Street Outlaws,2013,7+,6.8,66
Wings,1990,7+,7.3,150
Party of Five,1994,7+,6.8,1
Homicide Hunter: Lt Joe Kenda,2011,16+,8.9,82
Brothers and Sisters,2006,16+,7.3,109
Yu Yu Hakusho,1992,16+,8.4,74
American Pickers,2010,7+,7,228
Fear Factor,2001,7+,5.7,152
The Bachelorette,2003,16+,3.2,5
American Housewife,2016,7+,7.5,49
Wilfred,2011,18+,7.8,49
Aqua Teen Hunger Force,2000,18+,7.7,19
Scream Queens,2015,16+,7.1,22
Angie Tribeca,2016,16+,7,30
Silk Stalkings,1991,16+,6.6,176
Line of Duty,2012,18+,8.5,23
Key & Peele,2012,18+,8.3,53
The Real Housewives of Atlanta,2008,16+,4.2,210
Storage Wars,2010,7+,6.4,101
The Bold Type,2017,16+,8.1,20
Salem,2014,18+,7.2,36
24: Legacy,2017,16+,6.2,12
Daria,1997,7+,8.1,65
Highlander: The Series,1992,16+,7.3,120
UnREAL,2015,18+,7.9,38
The Next Step,2013,N/A,6.2,153
The Brady Bunch,1969,all,6.7,91
The Musketeers,2014,16+,7.8,30
Roswell,1999,16+,7.5,61
H2O: Just Add Water,2006,all,7.3,78
The Boondocks,2005,18+,8.4,51
The Game,2006,16+,6.9,148
Vanderpump Rules,2013,16+,5.2,96
Descendants of the Sun,2016,16+,8.5,16
Made in Chelsea,2011,16+,4.7,172
The Qwaser of Stigmata,2010,18+,5.4,36
Alone,2015,16+,8.4,34
Atlanta,2016,18+,8.6,10
The Path,2016,18+,7.4,36
X-Men,1992,7+,8.5,3
Dollhouse,2009,16+,7.7,26
Southland,2009,16+,8.4,43
Celebrity Undercover Boss,2010,7+,5.9,101
Kung Fu Panda: Legends of Awesomeness,2011,7+,0,52
Don't Trust the B---- in Apartment 23,2012,16+,7.3,26
We Bare Bears,2015,7+,8,2
Dirk Gently's Holistic Detective Agency,2016,16+,8.4,18
Boy Meets World,1993,all,8.1,158
Blue Exorcist,2011,16+,7.6,38
Spooks,2002,18+,8.3,87
The Mary Tyler Moore Show,1970,7+,8.2,168
Full Metal Panic!,2002,16+,7.7,36
Graceland,2013,16+,7.7,38
Dead Like Me,2003,16+,8.1,30
Taggart,1983,18+,7.2,63
Coupling,2000,7+,3.6,28
The Little Couple,2009,all,6.9,16
Sailor Moon Crystal,2014,16+,8,40
Queen Sugar,2016,16+,7.5,29
The Mick,2017,16+,7.9,37
General Hospital,1963,7+,6.7,60
Hollyoaks,1995,16+,5.1,715
11.22.63,2016,18+,8.3,8
Little Britain,2003,18+,7.7,20
The League,2009,18+,8.3,84
Cardfight!! Vanguard,2011,16+,7.3,66
Harvey Birdman Attorney at Law,2000,16+,8,39
Doc Martin,2004,7+,8.3,37
Teenage Mutant Ninja Turtles,2012,7+,8,120
Barefoot Contessa: Back to Basics,2002,all,7.5,7
Ghosted,2017,7+,6.3,13
Face Off,2011,7+,8.2,128
A Million Little Things,2018,16+,7.4,2
Haikyu!!,2014,16+,8.7,60
Food Network Star,2005,7+,6.3,57
Yu-Gi-Oh! Zexal,2011,7+,4.9,128
Flashpoint,2008,16+,7.8,75
Dance Moms,2011,7+,4.6,79
The Penguins of Madagascar,2009,7+,7.6,64
Private Practice,2007,16+,6.7,111
The Unit,2006,7+,8.1,69
The First 48,2004,18+,8.3,51
Outsiders,2016,18+,7.6,26
Ugly Betty,2006,7+,6.6,85
The Rockford Files,1974,16+,8.1,67
Vera,2011,7+,7.8,12
Route 66,1960,N/A,7.7,93
K.C. Undercover,2015,all,6.1,88
Touch,2012,7+,7.4,26
You're the Worst,2014,18+,8.2,49
The Office,2001,16+,8.5,14
Top Chef,2006,16+,7.6,217
All Saints,1998,N/A,7,368
Perception,2012,16+,7.5,39
Misfits,2009,18+,8.3,37
Property Brothers,2011,all,7.3,116
Fixer Upper,2013,all,8.4,59
Marvel's Cloak & Dagger,2018,16+,7,10
Cougar Town,2009,7+,7,102
Chance,2016,18+,7.7,20
Your Lie in April,2014,7+,8.1,22
Laverne & Shirley,1976,all,6.9,52
Reba,2001,7+,6.5,127
Weird Science,1994,N/A,6.8,76
To Love-Ru,2008,18+,7,62
Kyle XY,2006,7+,7.6,43
My Favorite Martian,1963,all,7.4,67
Diners  Drive-Ins and Dives,2007,all,7.4,70
Good Luck Charlie,2010,all,7.1,104
Dennis  The Menace,1959,all,7.2,146
The Bachelor,2002,16+,3.1,2
Metalocalypse,2006,18+,8.3,1
DCI Banks,2011,18+,7.6,36
Life,2007,16+,8.3,32
Mister Ed,1961,all,7.1,52
7th Heaven,1996,7+,5.2,243
Good Girls,2018,16+,7.9,5
The Heroic Legend of Arslan,2015,16+,7.7,26
The First,2018,N/A,6.5,8
I Spy,1965,N/A,7.2,82
Uncle Grandpa,2013,7+,4.4,140
Please Like Me,2013,16+,8.4,32
Late Night with Seth Meyers,2014,16+,6.1,17
Jimmy Kimmel Live!,2003,16+,6.8,210
The Outer Limits,1995,18+,7.8,153
Happy Endings,2011,16+,7.7,57
The Cool Kids,2018,16+,6.8,1
Legends,2014,16+,7.5,20
Samurai Champloo,2004,18+,8.6,26
The Glades,2010,16+,7.5,49
Forensic Files,1996,16+,8.8,115
Tiny Toon Adventures,1990,all,7.6,98
The Real Housewives of New York City,2008,16+,4.1,174
Legend of the Seeker,2008,16+,7.7,43
Doc McStuffins,2012,all,6.7,144
Famous in Love,2017,16+,7.1,20
Meet the Press,1947,all,5.8,1
Baskets,2016,18+,7.5,20
Melissa & Joey,2010,7+,7,45
The Bob Newhart Show,1972,all,8.1,72
Primeval,2007,16+,7.3,36
Tyler Perry's If Loving You Is Wrong,2014,16+,5.9,54
Agatha Christie's Marple,2004,16+,7.8,23
The Familiar of Zero,2006,16+,7.2,49
Webster,1983,all,5.7,45
Pride and Prejudice,1995,all,8.9,6
Battlestar Galactica,1978,7+,7.1,13
xxxHOLiC,2006,16+,7.8,24
Beyond,2017,16+,7.2,20
Elfen Lied,2004,18+,8.1,13
Witches of East End,2013,16+,7.6,23
Robin of Sherwood,1984,N/A,8.5,26
Reverie,2018,16+,6.6,10
Clannad,2007,7+,8,49
Mushi-Shi,2005,16+,8.4,46
WKRP in Cincinnati,1978,7+,8,22
Dirty Sexy Money,2007,16+,7.3,23
The Inbetweeners,2008,18+,8.3,18
Tyrant,2014,18+,7.8,32
X-Men: Evolution,2000,7+,7.9,1
Wallander,2008,7+,7.6,6
Log Horizon,2013,16+,7.8,51
Alaskan Bush People,2014,16+,6.4,14
Harlots,2017,18+,7.7,16
Jersey Shore,2009,16+,3.6,73
Moonlight Drawn by Clouds,2016,N/A,7.9,18
Future Man,2017,N/A,N/A,13
The Voice,2012,7+,5.6,28
This Is Life with Lisa Ling,2014,N/A,7.6,24
Deadbeat,2014,16+,7.5,36
Attack on Titan,2013,16+,8.8,48
Nicky  Ricky  Dicky & Dawn,2014,all,5.2,83
Splitting Up Together,2018,7+,6.9,8
Kill la Kill,2013,18+,8,24
WWE NXT,2010,7+,7.6,181
Top of the Lake,2013,16+,7.6,13
Psycho-Pass,2012,16+,8.3,31
Kamisama Kiss,2012,7+,8.1,25
The PJs,1999,16+,6.6,44
21 Jump Street,1987,7+,7.3,103
Magi,2012,16+,8,50
Marlon,2017,7+,6.9,5
War and Peace,2016,16+,8.2,8
Assassination Classroom,2015,16+,8,47
Charles in Charge,1984,all,6.1,21
Reaper,2007,16+,7.8,18
Danny Phantom,2004,7+,7.1,49
Devious Maids,2013,7+,7.8,49
Sonic X,2003,7+,6.1,156
Mary Kills People,2017,18+,7.4,12
Bring It!,2014,7+,6.5,3
Duck Dynasty,2012,7+,6.3,45
Fate/Zero,2011,18+,8.3,13
ERASED,2016,18+,8.5,12
The Detour,2016,18+,7.8,22
Broad City,2014,18+,8.4,40
Trial & Error,2017,16+,8,17
Tanked,2011,7+,6.7,52
Black Butler,2008,16+,7.9,20
The Profit,2013,7+,8.3,13
The Bridge,2013,18+,7.6,26
Perfect Strangers,1986,7+,7.3,133
Akame ga Kill!,2014,18+,8,24
Rin-ne,2015,16+,6.6,75
Cutthroat Kitchen,2013,all,7.2,89
Flip or Flop,2013,all,6.2,61
Adam-12,1968,7+,7.6,86
Manhattan,2014,16+,7.8,23
Black Books,2000,7+,8.5,18
Clannad After Story,2009,7+,8.6,24
Girlfriends' Guide to Divorce,2014,16+,6.9,1
The Prince of Tennis,2001,all,7.5,50
Cold Case Files,1999,18+,8.2,19
Anthony Bourdain: No Reservations,2005,7+,8.4,16
Ask This Old House,2002,all,7.8,52
FLCL,2000,18+,8.3,6
Spaced,1999,18+,8.6,14
Overlord,2015,18+,7.8,39
The Dead Files,2011,7+,6.8,20
Lou Grant,1977,7+,7.2,67
Voyage to the Bottom of the Sea,1964,7+,7.2,59
Forged in Fire,2015,7+,8.4,58
Murder in the First,2014,18+,7.3,32
Cardinal,2017,16+,7.7,12
Faking It,2014,16+,7.4,38
Finding Carter,2014,16+,7.6,36
Yona of the Dawn,2014,16+,8.1,24
Guilty Crown,2012,16+,7.3,22
Boys Over Flowers,2009,16+,8.1,25
The Looming Tower,2018,18+,8,10
Saved by the Bell,1989,7+,7.1,110
Flea Market Flip,2012,all,6.6,36
Mobile Suit Gundam 00,2007,16+,8.2,50
Real Humans,2012,16+,8,20
Every Witch Way,2014,7+,4.8,80
Invader Zim,2001,7+,8.3,36
Rake,2010,16+,8.7,16
Soul Eater,2008,16+,7.9,51
The Commish,1991,16+,7.2,73
Breakout Kings,2011,16+,7.3,23
Blossom,1990,all,6,113
Living Single,1993,7+,7.3,118
Señora Acero,2014,16+,7.4,148
Republic of Doyle,2010,16+,7.3,77
River Monsters,2009,7+,8.2,19
The Triangle,2005,16+,6.6,3
Absolutely Fabulous,1992,16+,8.2,36
The Event,2010,16+,7,22
Mr. Pickles,2014,18+,7.4,21
Big Time Rush,2009,all,6.2,53
Claws,2017,18+,7.3,10
My 600-lb Life,2012,7+,6.6,25
Alias Smith and Jones,1971,7+,7.7,35
Angels of Death,2018,18+,6.5,9
Raising Hope,2010,16+,8,88
Justice League Action,2016,7+,7.8,24
The Catch,2016,16+,7.2,20
Major Dad,1989,N/A,6.2,94
Here's Lucy,1968,all,7.1,144
Iron Chef America,2005,all,7.2,38
That Girl,1966,7+,7.2,136
20/20,1978,N/A,6.5,118
Better Off Ted,2009,7+,8.2,26
Deadly Women,2005,16+,8.1,91
Hozuki's Coolheadedness,2014,N/A,8.7,4
Clarence,2014,7+,6.5,12
American Gothic,1995,N/A,8.2,22
Mistresses,2013,16+,7.1,52
Home Movies,1999,7+,8.2,53
Good Behavior,2016,18+,8.2,20
House Hunters,1999,all,8.3,130
Maya & Miguel,2004,all,4.4,20
Blood Blockade Battlefront,2015,18+,7.3,24
Austin & Ally,2011,all,6,87
Dance Academy,2010,16+,8.1,65
Second Chance,2016,16+,7.6,11
The Brave,2017,16+,7.5,13
Leah Remini: Scientology and the Aftermath,2016,16+,9.2,23
Penn & Teller: Bullshit!,2003,18+,8.2,87
Basilisk,2005,18+,4.6,46
Burning Love,2012,7+,8,21
Darker than Black,2007,16+,7.8,12
Resurrection,2014,16+,7.4,21
Inside the NFL,1977,N/A,7,1
Letterkenny,2016,7+,8.2,13
Kitchen Nightmares,2007,16+,7.5,93
Plebs,2013,16+,8,22
Stella,2012,N/A,8,51
Miles from Tomorrowland,2015,all,7,71
Death Parade,2015,18+,8,12
The Thick of It,2005,18+,8.7,25
For The People,2018,16+,7,10
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.5,13
Demon King Daimao,2010,18+,7,12
Sekirei,2008,18+,7.6,12
Party Down,2009,18+,8.3,20
Mysteries at the Museum,2010,7+,8.2,2
Man vs. Wild,2006,7+,8.2,12
The Lucy Show,1962,N/A,7.3,103
D.Gray-man,2006,16+,7.8,51
Better Things,2016,18+,7.7,20
My Teen Romantic Comedy SNAFU,2013,16+,7.8,26
Oreimo,2010,16+,6.6,25
Monster Musume: Everyday Life with Monster Girls,2017,18+,6.7,12
Noragami,2014,16+,8,25
The Future Diary,2011,18+,7.8,26
Wiseguy,1987,7+,7.9,68
Little Women: LA,2014,16+,5.7,79
Cold Squad,1998,16+,7,98
The Biggest Loser,2004,7+,5.5,5
Ellen,1994,7+,6.2,109
Bakuman,2010,16+,8,75
The Legend of the Blue Sea,2016,N/A,8.2,20
Top Gear USA,2010,7+,5.3,82
Parasyte -the maxim-,2014,18+,8.4,24
Acapulco H.E.A.T.,1993,16+,6,1
Celebrity Family Feud,2008,7+,6,15
Underground,2016,18+,7.8,20
Zero Hour,2013,16+,6.5,4
Spiral,2005,7+,8.5,52
Angry Birds Toons,2013,all,6.3,23
Snapped,2004,7+,8,6
United States of Tara,2009,18+,7.9,36
Brotherhood,2006,18+,7.8,28
Accel World,2012,16+,7.3,24
Man Seeking Woman,2015,18+,7.7,30
60 Days In,2016,16+,7.8,53
Shakugan no Shana,2005,16+,7.3,72
Friday Night Dinner,2011,18+,8,24
Inside Amy Schumer,2013,18+,6.2,39
Yu-Gi-Oh! GX,2004,all,6.7,155
Highschool of the Dead,2010,18+,7.3,12
Casual,2015,18+,7.6,44
Hellsing,2001,16+,8,13
Hoarders,2009,7+,6.4,74
