title,year,rating,score,episodes
McLeod's Daughters,2001,16+,7.2,224
Yukon Men,2012,7+,7.2,9
The Carmichael Show,2015,7+,7.6,32
A Certain Scientific Railgun,2009,16+,7.7,48
Land of the Giants,1968,7+,7.1,51
Dies Irae,2017,18+,5.3,18
X Company,2015,16+,7.6,8
Little Women: Atlanta,2016,16+,5.6,64
Guidance,2015,N/A,6.2,17
Beck,1997,N/A,7.4,24
Robin Hood,2006,16+,7.5,39
Roots,2016,16+,7.9,4
Hangin' with Mr. Cooper,1992,7+,6.4,101
Stan Against Evil,2016,18+,7.2,16
Little Mosque on the Prairie,2007,7+,5.8,90
New Amsterdam,2008,16+,7.5,1
Camelot,2011,18+,6.5,10
Commander in Chief,2005,7+,6.8,18
Ben 10: Omniverse,2012,7+,5.9,120
Himouto! Umaru-chan,2015,16+,7.2,12
The Pet Girl of Sakurasou,2012,16+,7.9,24
Dual Survival,2010,16+,7.6,38
TRIGUN,1998,7+,8.3,26
Ally McBeal,1997,16+,6.8,111
Unusual Suspects,2010,16+,7.7,39
The Greatest American Hero,1981,7+,7.4,4
Legit,2013,18+,8.2,26
American Ninja Warrior,2009,7+,6.9,24
The Chi,2018,18+,7.4,1
Ergo Proxy,2007,16+,8,23
Miranda,2009,7+,8.1,20
Sanjay and Craig,2013,7+,4.5,60
Pitch,2016,16+,7.4,10
DARLING in the FRANXX,2018,16+,7.4,23
Love Island,2015,N/A,4.9,184
Beat Bobby Flay,2014,all,6.1,57
Is This a Zombie?,2011,16+,7.3,22
Fate/stay night [Unlimited Blade Works],2014,18+,8.1,24
Disappeared,2010,16+,8.1,40
The Marvelous Misadventures of Flapjack,2008,7+,7.9,46
Time After Time,2017,16+,6.8,1
Spy,2011,7+,8,17
Dog With a Blog,2012,all,4.7,77
Horace and Pete,2016,18+,8.6,10
School of Rock,2016,all,4.5,45
