title,release,duration,genres
Brian Regan: Nunchucks and Flamethrowers,2017,61,Blue-collar Stand-up Comedy
Brick,2005,110,Crime Movies
Bridge to Terabithia,2007,96,Adventures
Bridget Christie: Stand Up for Her,2016,51,Comedies
Bridget Jones's Baby,2016,123,British Movies
Bright,2017,118,Action & Adventure
Bright Night,2015,83,Dramas
Bright Star,2009,119,Biographical Dramas
Brij Mohan Amar Rahe,2018,100,Comedies
Bring It On: Worldwide Showdown,2017,95,Comedies
Broken Sword Hero,2017,122,Action & Adventure
Brooklyn's Finest,2009,133,Crime Dramas
Brother Bear 2,2006,74,Adventures
Brother's Keeper,1992,105,Biographical Documentaries
Brother's Shadow,2006,90,Dramas
Brotherly Love,2015,87,Basketball Movies
Brothers in War,2014,88,Documentaries
Bruce Almighty,2003,101,Comedies
Bruno and Boots: Go Jump in the Pool,2016,91,Canadian Movies
Bruno and Boots: The Wizzle War,2017,90,Canadian Movies
Bruno and Boots: This Can't Be Happening at Macdonald Hall,2017,90,Canadian Movies
Buddy Thunderstruck: The Maybe Pile,2017,14,Animated
Budhia Singh: Born to Run,2016,95,Biographical Dramas
Bugs,2016,73,Critically-acclaimed Movies
Bullet Head,2017,94,Crime Movies
Bullet to the Head,2012,92,Action & Adventure
Bunks,2013,81,Canadian Movies
Burlesque: Heart of the Glitter Tribe,2017,76,Documentaries
Burn After Reading,2008,96,Comedies
Burn Burn Burn,2015,105,British Movies
Burning Sands,2017,102,Critically-acclaimed Movies
Burnt,2015,101,Dark Movies
Bushwick,2017,94,Action & Adventure
Buster's Mal Heart,2016,98,Independent Movies
Butter,2011,90,Comedies
CAPITALISM: A LOVE STORY,2009,127,Critically-acclaimed Movies
CIA: Comrade in America,2017,130,Dramas
CODE: Debugging the Gender Gap,2015,79,Documentaries
Cabin Fever,2002,92,Cult Horror Movies
Cabin Fever,2016,98,Dark Movies
Cabin Fever 2: Spring Fever,2009,86,Horror Movies
Cahaya Dari Timur Beta Maluku,2014,151,Dramas
Caida del Cielo,2016,78,Comedies
Calendar Girls,2015,126,Bollywood Movies
Calibre,2018,102,British Movies
Call Me Lucky,2015,105,Critically-acclaimed Movies
Call of Heroes,2016,120,Action & Adventure
Camarón: The Film,2018,105,Documentaries
Camera Store,2016,104,Comedies
Camino,2015,104,20th Century Period Pieces
Camp Cool Kids,2017,104,Children & Family Movies
Camp X-Ray,2014,117,Dramas
Candy Jar,2018,93,Children & Family Movies
Cappuccino,2017,126,Comedies
Captain Sabertooth and the Treasure of the Lama Rama,2014,97,Adventures
Captain Underpants: The First Epic Movie,2017,89,Animated
Car Dogs,2016,102,Comedies
Carbon,2017,104,Crime Dramas
Cardboard Boxer,2016,89,Dramas
Cardboard Gangsters,2016,92,Crime Dramas
Cargo,2018,104,Australian Movies
Carlos Ballarta: El amor es de putos,2016,67,Comedies
Carlos Ballarta: Furia Ñera,2018,63,Comedies
Carnage Park,2016,81,Dark Movies
Carol,2015,118,20th Century Period Pieces
Carpool,1996,90,Comedies
Carrie Pilby,2016,98,Comedies
Cars 3,2017,103,Adventures
Cars Toon: Mater's Tall Tales,2010,36,Animated
Cart,2014,103,Critically-acclaimed Movies
Cartel Land,2015,100,Crime Documentaries
Carter High,2015,110,20th Century Period Pieces
Casa de mi Padre,2012,84,Comedies
Casablancas: The Man Who Loved Women,2016,82,Biographical Documentaries
Casino Tycoon,1992,125,20th Century Period Pieces
Casino Tycoon 2,1992,108,20th Century Period Pieces
Casting JonBenet,2017,81,Crime Documentaries
Catching Feelings,2018,117,African Movies
Catching the Sun,2015,74,Documentaries
Catfight,2016,96,Comedies
Cats & Dogs,2001,87,Adventures
Catwoman,2004,104,Action & Adventure
Cave,2016,77,Action & Adventure
Cave of Forgotten Dreams,2010,90,Canadian Movies
Cedric the Entertainer: Live from the Ville,2016,60,Comedies
Celal and Ceren,2013,110,Comedies
Celluloid Man,2012,156,Documentaries
Certain Women,2016,107,Critically-acclaimed Movies
Chaahat,1996,148,Bollywood Movies
Chadi Jawani Budhe Nu,1976,135,Bollywood Movies
Chal Dhar Pakad,2010,129,Comedies
Chalay Thay Saath,2017,118,Comedies
Chalk It Up,2016,90,Comedies
Chalte Chalte,2003,166,Bollywood Movies
Chamatkar,1992,164,Bollywood Movies
Chandani: The Daughter of the Elephant Whisperer,2010,87,Documentaries
Chandni Bar,2001,144,Critically-acclaimed Movies
Changeling,2008,142,20th Century Period Pieces
Chaos on the Bridge,2014,59,Canadian Movies
Chapo: el escape del siglo,2016,87,Biographical Dramas
Chappaquiddick,2017,106,20th Century Period Pieces
Charlie St. Cloud,2010,99,Dramas
Chashme Buddoor,2013,121,Bollywood Movies
Chasing Coral,2017,89,Critically-acclaimed Movies
Chasing Trane,2016,99,Documentaries
Chasing the Dragon,2017,129,Action & Adventure
Chatô: The King of Brazil,2015,105,20th Century Period Pieces
Chauranga,2014,86,Dark Movies
Chauthi Koot,2015,116,Dark Movies
Cheap Thrills,2013,87,Comedies
Check Point,2017,98,Action & Adventure
Chef vs Science: The Ultimate Kitchen Challenge,2016,50,British TV Shows
Chelsea Handler: Uganda Be Kidding Me Live,2014,71,Comedies
Chelsea Peretti: One of the Greats,2014,75,Comedies
Chennai Express,2013,135,Action & Adventure
Chernobyl Diaries,2012,88,Creature Features
Cherry Pop,2017,78,Campy Movies
Chhota Bheem and the Curse of Damyaan,2012,87,Adventures
Chicken Kokkachi,2017,113,Comedies
Chicken Little,2005,82,Animal Tales
Chicken Run,2000,84,Animal Tales
Children of God,1994,63,British Movies
Chillar Party,2011,127,Children & Family Movies
China Salesman,2017,111,Action & Adventure
Chingo Bling: They Can't Deport Us All,2017,63,Comedies
Chittagong,2012,105,20th Century Period Pieces
Chocolat,2000,122,20th Century Period Pieces
