title,release,duration,genres
Abacus: Small Enough to Jail,2016,90,Critically-acclaimed Movies
Abandoned,2015,86,Dramas
Abby Sen,2015,127,Comedies
Abhinetri,2016,131,Comedies
Abominable Christmas,2012,44,Animated
Absolutely Anything,2015,85,Alien Sci-Fi
Abzurdah,2015,90,Biographical Dramas
Acapulco La vida va,2016,89,Comedies
Accidental Courtesy,2016,101,Documentaries
According to Greta,2009,92,Dramas
Across Grace Alley,2013,24,Dramas
Act of Vengeance,2010,112,Action & Adventure
Action Replayy,2010,129,Bollywood Movies
Acts of Vengeance,2017,87,Action & Adventure
Adam: His Song Continues,1986,96,Biographical Dramas
Addicted to Sexting,2015,80,Documentaries
Adel Karam: Live from Beirut,2018,59,Comedies
Aditi Mittal: Things They Wouldn't Let Me Say,2017,63,Comedies
Adore,2013,111,Australian Movies
Adult Beginners,2014,92,Comedies
Adult World,2013,93,Comedies
Advantageous,2015,92,Critically-acclaimed Movies
Adventures in Public School,2018,86,Comedies
After Porn Ends 2,2017,99,Documentaries
After the Reality,2016,88,Dramas
Aftershock,2012,89,Action & Adventure
Agadbam,2010,127,Comedies
Again Kasargod Khader Bai,2010,125,Action & Adventure
Agustín Aristarán: Soy Rada,2018,60,Comedies
Agyaat,2009,97,Creature Features
Ai Weiwei: Never Sorry,2012,91,Biographical Documentaries
Aileen Wuornos: The Selling of a Serial Killer,1993,84,Biographical Documentaries
Aileen: Life and Death of a Serial Killer,2003,90,Biographical Documentaries
Ain't Them Bodies Saints,2013,96,Crime Dramas
Air Bud: Seventh Inning Fetch,2002,93,Animal Tales
Air Bud: Spikes Back,2003,87,Animal Tales
Air Bud: World Pup,2000,83,Animal Tales
Air Buddies,2006,80,Adventures
Airlift,2016,119,20th Century Period Pieces
Aisa Yeh Jahaan,2015,127,Dramas
Aitraaz,2004,153,Bollywood Movies
Aiyaary,2018,158,Action & Adventure
Aiyyaa,2012,151,Bollywood Movies
Ajab Prem Ki Ghazab Kahani,2009,150,Bollywood Movies
Ajji,2017,105,Dark Movies
Alan Saldaña: Mi vida de pobre,2017,54,Comedies
Albion: The Enchanted Stallion,2016,106,Adventures
Alejandro Riaño: Especial de stand up,2018,60,Comedies
Alejandro Sanz: What I Was Is What I Am,2018,102,Biographical Documentaries
Alex Strangelove,2018,100,Comedies
Alexander: The Ultimate Cut,2014,207,Action & Adventure
Ali & Nino,2016,101,20th Century Period Pieces
Ali Baba ve 7 Cüceler,2015,115,Action & Adventure
Ali G Indahouse,2002,87,British Movies
Ali Wong: Baby Cobra,2016,60,Comedies
Ali Wong: Hard Knock Wife,2018,64,Comedies
Ali's Wedding,2018,110,Australian Movies
Alias JJ la celebridad del mal,2017,54,Crime Documentaries
Alibaba,2002,74,Action & Adventure
Alibaba Aur 40 Chor,1980,147,Action & Adventure
Alien Arrival,2016,99,Action & Adventure
Alien Autopsy: Fact or Fiction?,1995,46,Documentaries
Alien Contact: Outer Space,2017,63,Documentaries
Aliens Ate My Homework,2018,90,Adventures
Aliens: Zone of Silence,2017,80,Alien Sci-Fi
Alive and Kicking,2016,89,Critically-acclaimed Movies
